"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"058091","Roma","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",2837332,"p","dato provvisorio"
"059011","Latina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",129133,"p","dato provvisorio"
"066049","L'Aquila","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",69710,"p","dato provvisorio"
"067041","Teramo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",53819,"p","dato provvisorio"
"068028","Pescara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",119800,"p","dato provvisorio"
"069022","Chieti","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",50285,"p","dato provvisorio"
"094023","Isernia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",21585,"p","dato provvisorio"
"061022","Caserta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",74450,"p","dato provvisorio"
"062008","Benevento","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",58794,"p","dato provvisorio"
"063049","Napoli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",962589,"p","dato provvisorio"
"065116","Salerno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",132702,"p","dato provvisorio"
"071024","Foggia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",149904,"p","dato provvisorio"
"072006","Bari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",322316,"p","dato provvisorio"
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",195227,"p","dato provvisorio"
"075035","Lecce","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",96534,"p","dato provvisorio"
"110001","Andria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",99307,"p","dato provvisorio"
