,Town,Population,Taxable Income,Taxable_Income_Pro_capite,Prov,Regione,Lat,Long,4$_Restaurant,4$_Restaurant_Pro_capite,Pop_rad_15km,4$_Restaurant_Pro_capite_2,Italian_V,Office_V,Café_V,Landmark_V,Art Gallery_V,Tot_Venues,Boutique_V,Bank_V,Gourmet_V,Apparel_V,Church_V,Ice Cream_V,Pharmacy_V,Jewelry_V,Men's Store_V,Salon / Barbershop_V,Women's Store_V,Doctor's Office_V,Accessories_V,Plaza_V,Building_V,Optical_V,Historic Site_V,Food & Drink_V,Convention Center_V,Sandwiches_V,School_V,Adult Boutique_V,Lounge_V,Parking_V,Racetrack_V,Restaurant_V,Hotel_V,Science Museum_V,Government_V,Coffee Shop_V,Mobile Phones_V,Performing Arts_V,Advertising Agency_V,Bakery_V,Newsstand_V,Cosmetics_V,Gift Shop_V,Nail Salon_V,Shoes_V,Music Venue_V,Bar_V,Perfume Shop_V,Candy Store_V,Tattoo_V,Pet Store_V,Tourist Information_V,Shop_V,Convenience Store_V,Tailor_V,Smoke Shop_V,Herbs & Spices Store_V,Toys & Games_V,Market_V,Financial / Legal_V,Baby Store_V,Pizza_V,Office Supplies_V,Kids Store_V,Japanese_V,Wine Bar_V,Town Hall_V,Bookstore_V,Trattoria/Osteria_V,Medical Lab_V,Scenic Lookout_V,Brewery_V,Fabric Shop_V,Butcher_V,Post Office_V,Health & Beauty_V,Driving School_V,Luggage Store_V,Food Truck_V,Recreation Center_V,Diner_V,Dentist's Office_V,Furniture / Home_V,Other Repair_V,Campaign_V,B & B_V,Eye Doctor_V,Art Museum_V,Bike_V,Cocktail_V,Wine Shop_V,Public Art_V,Non-Profit_V,Desserts_V,Dive Bar_V,Travel_V,Bus_V,Palace_V,Beer Bar_V,Theater_V,Park_V,Burgers_V,Playground_V,Train Station_V,Tech Startup_V,Business Services_V,Cineplex_V,Pub_V,Falafel_V,Travel Agency_V,Entertainment_V,Bus Station_V,Fountain_V,Arts & Crafts_V,Event Space_V,Drugstore_V,Fast Food_V,Cemetery_V,Buffet_V,Outdoor Sculpture_V,Museum_V,Concert Hall_V,Winery_V,Coworking Space_V,Spa_V,History Museum_V,Indie Movies_V,Cupcakes_V,Community College_V,Lingerie_V,Hardware_V,Piadineria_V,Martial Arts_V,Electronics_V,Other Outdoors_V,Gym / Fitness_V,Residential_V,Mac & Cheese_V,Library_V,Flower Shop_V,Beer Garden_V,Real Estate_V,Mediterranean_V,Meeting Room_V,Arts & Entertainment_V,Bistro_V,Sporting Goods_V,Grocery Store_V,Farmer's Market_V,Irish_V,Lab_V,Hookah Bar_V,Cultural Center_V,Music Store_V,Snacks_V,Gastropub_V,Pedestrian Street/Plaza_V,Seafood_V,Tea Room_V,Speakeasy_V,Vegetarian / Vegan_V,Hobbies_V,Yogurt_V,Chocolate Shop_V,Police Station_V,Warehouse_V,City Hall_V,Piers_V,Supermarket_V,Housing Development_V,Boat / Ferry_V,Bridal_V,Bridge_V,Opera House_V,Fried Chicken_V,Conference room_V,Harbor / Marina_V,Shrine_V,Chinese_V,Academic Building_V,University_V,Classroom_V,Asian_V,Gay Bar_V,Boarding_V,Food_V,Mexican_V,Fish & Chips_V,Outdoors & Recreation_V,Design_V,High School_V,Arcade_V,Argentinian_V,Student Center_V,Auditorium_V,Department Store_V,Garden_V,Greek_V,Courthouse_V,Lake_V,Mountain_V,Basketball_V,Education_V,Fair_V,Basketball Court_V,Indie_V,Gym_V,Military Base_V,Distributor_V,Medical_V,Arts_V,Laundry_V,Administrative Building_V,Trail_V,Factory_V,Field_V,Bike Shop_V,Food Court_V,Bus Stop_V,Tennis Court_V,Automotive_V,Laundromat_V,Athletics & Sports_V,Vineyard_V,Animal Shelter_V,Steakhouse_V,Gas Station_V,Rock Club_V,Sculpture_V,Car Washes_V,Construction_V,Soccer_V,Soccer Field_V,Comfort Food_V,Dog Run_V,Campground_V,Veterinarians_V,Thrift / Vintage_V,Video Store_V,Photography Lab_V,Movie Theater_V,BBQ_V,Hospital_V,Cafeteria_V,Auto Dealer_V,Tennis_V,Elementary School_V,Shops_V,Rental Car_V,Capitol Building_V,Beach_V,Antiques_V,Temple_V,Health Food Store_V,Gaming Cafe_V,Deli / Bodega_V,Leather Goods_V,Sushi_V,Funeral Home_V,EV Charging_V,Radio Station_V,Board Shop_V,German_V,Exhibit_V,Motorcycle Shop_V,Metro_V,Internet Cafe_V,Hostel_V,Yoga Studio_V,Club_V,Nightlife_V,Breakfast_V,Agriturismo_V,Rest Areas_V,Tanning Salon_V,Emergency Room_V,Massage Studio_V,Castle_V,Discount Store_V,Pool_V,Farm_V,River_V,Professional_V,Middle Eastern_V,Platform_V,Mall_V,Assisted Living_V,Donuts_V,Spiritual_V,Distillery_V,Camera Store_V,Jazz Club_V,Flea Market_V,Motel_V,Creperie_V,Nightclub_V,Fruit & Vegetable Store_V,Comic Shop_V,Mattress Store_V,Middle School_V,Nursery School_V,Indian_V,Residence Hall_V,Frat House_V,Record Shop_V,Cheese Shop_V,Voting Booth_V,Video Games_V,Trade School_V,Bagels_V,Storage_V,Sicilian_V,Tapas_V,Tuscan_V,Lawyer_V,Well_V,Kebab_V,Moroccan_V,Volleyball Court_V,Fish Market_V,IT Services_V,Shoe Repair_V,Friterie_V,Turkish_V,Juice Bar_V,Lighthouse_V,Beer Store_V,Physical Therapist_V,Theme Park_V,Pastry_V,Law School_V,Stationery Store_V,Social Club_V,Warehouse Store_V,Theme Restaurant_V,Noodles_V,Big Box Store_V,Music School_V,Spanish_V,Photo Studio_V,Print Shop_V,Sports Bar_V,American_V,Resort_V,Toll Booth_V,Gluten-free_V,Fire Station_V,Water Park_V,Insurance Office_V,Dance Studio_V,Souvenir Shop_V,Campanian_V,Vacation Rental_V,Puglia_V,Dry Cleaner_V,Betting Shop_V,Salad_V,Casino_V,Bowling Alley_V,Community Center_V,Research Laboratory_V,Recycling_V,Stadium_V,Garden Center_V,Karaoke_V,Beach Bar_V,Pet Service_V,Wings_V,Auto Garage_V,African_V,Light Rail_V,Skate Park_V,Track_V,Preschool_V,Comedy Club_V,Home Services_V,Bathing Area_V,Stables_V,College & Education_V,Corporate Amenity_V,ATM_V,Baseball Field_V,Hot Spring_V,Preserve_V,Alternative Healer_V,Recruiting Agency_V,Sports Club_V,Shipping Store_V,Strip Club_V,Liquor Store_V,Hot Dogs_V,Surf Spot_V,Volcano_V,Hotel Bar_V,Airport_V,Brazilian_V,Daycare_V,Billiards_V,Whisky Bar_V,Food Stand_V,Football_V,Medical School_V,Golf Course_V,Skating Rink_V,Fishing Store_V,Circus_V,Auto Workshop_V,AVG_Altitude,STD_Altitude
277,Bedizzole,12229.0,174341394.0,14256.390056423257,BS,Lombardia,45.5105711,10.423032300000001,56.0,0.004579278763594733,193119.0,0.00028997664652364604,4,0,5,0,0,102,1,1,0,0,0,0,2,0,1,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,15
278,Beinasco,17856.0,275671165.0,15438.573308691755,TO,Piemonte,45.022096999999995,7.5793974,43.0,0.0024081541218637995,1284261.0,3.3482290593578716e-05,3,6,6,0,0,120,1,1,0,4,1,1,2,0,2,0,1,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,2,0,2,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,1,0,2,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,5
279,Bellaria-Igea Marina,19576.0,253865085.0,12968.179658765835,RN,Emilia-Romagna,44.142107700000004,12.469693699999999,48.0,0.002451982018798529,288627.0,0.00016630460767703644,1,4,7,0,0,122,0,1,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,1,1,1,1,0,1,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
280,Bellizzi,13622.0,110971426.0,8146.485538100131,SA,Campania,40.6201805,14.948453,10.0,0.0007341065922771986,165680.0,6.035731530661516e-05,2,2,5,0,0,114,1,1,0,1,0,1,1,0,0,3,0,2,0,3,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,8,0,1,0,1,0,2,1,0,0,0,0,0,0,0,12,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,21
281,Belmonte Mezzagno,11144.0,67232349.0,6033.053571428572,PA,Sicilia,38.0484487,13.390553899999999,30.0,0.0026920315865039484,846190.0,3.545303064323615e-05,2,4,5,0,0,117,0,0,0,4,0,1,0,1,3,2,2,1,2,1,1,0,0,1,0,0,1,0,1,1,0,3,1,0,1,0,1,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,121
282,Belpasso,28072.0,207003332.0,7374.014391564547,CT,Sicilia,37.5891869,14.9782386,24.0,0.0008549444286121402,612205.0,3.9202554699814613e-05,0,1,7,0,0,104,0,1,0,1,3,0,1,1,0,3,0,3,0,2,3,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,349,448
283,Bressanone/Brixen,22572.0,462290165.0,20480.69134325713,BZ,Trentino-Alto Adige/Südtirol,46.7035907,11.647639199999999,26.0,0.0011518695729222045,22572.0,0.0011518695729222045,1,10,6,0,0,125,0,2,0,0,0,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,2,0,0,1,0,6,7,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,1,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,5,0,2,0,0,0,4,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1346,549
284,Bresso,26410.0,461317853.0,17467.544604316547,MI,Lombardia,45.53668,9.187730300000002,44.0,0.0016660355925785686,2683803.0,1.6394645955757555e-05,0,1,12,0,0,122,1,3,0,3,2,3,2,0,0,9,0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,2,1,0,1,0,0,0,0,0,4,2,0,2,0,0,2,0,0,0,0,0,1,2,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2
285,Cadelbosco di Sopra,10779.0,154488817.0,14332.3886260321,RE,Emilia-Romagna,44.7633191,10.595182300000001,38.0,0.0035253734112626407,219824.0,0.00017286556517941623,5,1,5,0,0,104,0,2,0,0,2,2,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,1,0,0,4,2,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,4
286,Cadoneghe,16113.0,257937294.0,16008.024204058835,PD,Veneto,45.45864810000001,11.9201748,50.0,0.0031030844659591635,499830.0,0.00010003401156393174,2,1,4,0,0,121,0,2,0,0,1,0,1,0,0,2,0,1,0,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,3,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,3,0,0,0,0,1,2,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
287,Cairo Montenotte,12841.0,185973479.0,14482.787866988552,SV,Liguria,44.399268400000004,8.2745606,8.0,0.0006230044389066272,12841.0,0.0006230044389066272,1,2,6,0,0,108,1,2,1,3,0,2,1,0,0,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,137
